nation,manager,player,position,club,age
Curaçao,,Shurandy Sambo,2 DF,Sparta Rotterdam,
Curaçao,,Armando Obispo,2 DF,PSV Eindhoven,
Curaçao,,Riechedly Bazoer,2 DF,Konyaspor,
Curaçao,,Deveron Fonville,2 DF,NEC,
Curaçao,,Leandro Bacuna ( captain ),3 MF,Iğdır,
Curaçao,,Juninho Bacuna,3 MF,Volendam,
Curaçao,,Godfried Roemeratoe,3 MF,RKC Waalwijk,
Curaçao,,Kevin Felida,3 MF,Den Bosch,
Curaçao,,Livano Comenencia,3 MF,Zürich,
Curaçao,,Ar'jany Martha,3 MF,Rotherham United,
Curaçao,,Tyrese Noslin,3 MF,Telstar,
Curaçao,,Kenji Gorré,4 FW,Maccabi Haifa,
Curaçao,,Brandley Kuwas,4 FW,Volendam,
Curaçao,,Gervane Kastaneer,4 FW,Terengganu,
Curaçao,,Jeremy Antonisse,4 FW,Kifisia,
Curaçao,,Jearl Margaritha,4 FW,Beveren,
Curaçao,,Jürgen Locadia,4 FW,Miami FC,
Curaçao,,Sontje Hansen,4 FW,Middlesbrough,
Curaçao,,Tahith Chong,4 FW,Sheffield United,
Germany,,Manuel Neuer,1 GK,Bayern Munich,
Germany,,Antonio Rüdiger,2 DF,Real Madrid,
Germany,,Waldemar Anton,2 DF,Borussia Dortmund,
Germany,,Jonathan Tah,2 DF,Bayern Munich,
Germany,,Aleksandar Pavlović,3 MF,Bayern Munich,
Germany,,Joshua Kimmich ( captain ),3 MF,Bayern Munich,
Germany,,Kai Havertz,4 FW,Arsenal,
Germany,,Leon Goretzka,3 MF,Bayern Munich,
Germany,,Jamie Leweling,3 MF,VfB Stuttgart,
Germany,,Jamal Musiala,3 MF,Bayern Munich,
Germany,,Nick Woltemade,4 FW,Newcastle United,
Germany,,Oliver Baumann,1 GK,TSG Hoffenheim,
Germany,,Pascal Groß,3 MF,Brighton & Hove Albion,
Germany,,Maximilian Beier,4 FW,Borussia Dortmund,
Germany,,Nico Schlotterbeck,2 DF,Borussia Dortmund,
Germany,,Angelo Stiller,3 MF,VfB Stuttgart,
Germany,,Florian Wirtz,3 MF,Liverpool,
Germany,,Nathaniel Brown,2 DF,Eintracht Frankfurt,
Germany,,Leroy Sané,3 MF,Galatasaray,
Germany,,Nadiem Amiri,3 MF,Mainz 05,
Germany,,Alexander Nübel,1 GK,VfB Stuttgart,
Germany,,David Raum,2 DF,RB Leipzig,
Germany,,Felix Nmecha,3 MF,Borussia Dortmund,
Germany,,Malick Thiaw,2 DF,Newcastle United,
Germany,,Lennart Karl,3 MF,Bayern Munich,
Germany,,Deniz Undav,4 FW,VfB Stuttgart,
Ivory Coast,,Yahia Fofana,1 GK,Çaykur Rizespor,
Ivory Coast,,Alban Lafont,1 GK,Panathinaikos,
Ivory Coast,,Mohamed Koné,1 GK,Charleroi,
Ivory Coast,,Ghislain Konan,2 DF,Gil Vicente,
Ivory Coast,,Odilon Kossounou,2 DF,Atalanta,
Ivory Coast,,Wilfried Singo,2 DF,Galatasaray,
Ivory Coast,,Evan Ndicka,2 DF,Roma,
Ivory Coast,,Emmanuel Agbadou,2 DF,Beşiktaş,
Ivory Coast,,Guéla Doué,2 DF,Strasbourg,
Ivory Coast,,Ousmane Diomande,2 DF,Sporting CP,
Ivory Coast,,Clément Akpa,2 DF,Auxerre,
Ivory Coast,,Franck Kessié ( captain ),3 MF,Al-Ahli,
Ivory Coast,,Jean Michaël Seri,3 MF,Maribor,
Ivory Coast,,Ibrahim Sangaré,3 MF,Nottingham Forest,
Ivory Coast,,Seko Fofana,3 MF,Porto,
Ivory Coast,,Christ Inao Oulaï,3 MF,Trabzonspor,
Ivory Coast,,Parfait Guiagon,3 MF,Charleroi,
Ivory Coast,,Nicolas Pépé,4 FW,Villarreal,
Ivory Coast,,Oumar Diakité,4 FW,Cercle Brugge,
Ivory Coast,,Simon Adingra,4 FW,Monaco,
Ivory Coast,,Evann Guessand,4 FW,Crystal Palace,
Ivory Coast,,Amad Diallo,4 FW,Manchester United,
Ivory Coast,,Yan Diomande,4 FW,RB Leipzig,
Ivory Coast,,Bazoumana Touré,4 FW,TSG Hoffenheim,
Ivory Coast,,Elye Wahi,4 FW,Nice,
Ivory Coast,,Ange-Yoan Bonny,4 FW,Inter Milan,
Japan,,Zion Suzuki,1 GK,Parma,
Japan,,Yukinari Sugawara,2 DF,Werder Bremen,
Japan,,Shōgo Taniguchi,2 DF,Sint-Truiden,
Japan,,Kō Itakura,2 DF,Ajax,
Japan,,Yūto Nagatomo,2 DF,FC Tokyo,
Japan,,Wataru Endo ( captain ),3 MF,Liverpool,
Japan,,Ao Tanaka,3 MF,Leeds United,
Japan,,Takefusa Kubo,3 MF,Real Sociedad,
Japan,,Keisuke Gotō,4 FW,Sint-Truiden,
Japan,,Ritsu Dōan,3 MF,Eintracht Frankfurt,
Japan,,Daizen Maeda,4 FW,Celtic,
Japan,,Keisuke Ōsako,1 GK,Sanfrecce Hiroshima,
Japan,,Keito Nakamura,3 MF,Reims,
Japan,,Junya Itō,3 MF,Genk,
Japan,,Daichi Kamada,3 MF,Crystal Palace,
Japan,,Tsuyoshi Watanabe,2 DF,Feyenoord,
Japan,,Yuito Suzuki,4 FW,SC Freiburg,
Japan,,Ayase Ueda,4 FW,Feyenoord,
Japan,,Kōki Ogawa,4 FW,NEC,
Japan,,Ayumu Seko,2 DF,Le Havre,
Japan,,Hiroki Itō,2 DF,Bayern Munich,
Japan,,Takehiro Tomiyasu,2 DF,Ajax,
Japan,,Tomoki Hayakawa,1 GK,Kashima Antlers,
Japan,,Kaishū Sano,3 MF,Mainz 05,
Japan,,Junnosuke Suzuki,2 DF,Copenhagen,
Japan,,Kento Shiogai,4 FW,VfL Wolfsburg,
Netherlands,,Bart Verbruggen,1 GK,Brighton & Hove Albion,
Netherlands,,Mark Flekken,1 GK,Bayer Leverkusen,
Netherlands,,Robin Roefs,1 GK,Sunderland,
Netherlands,,Virgil van Dijk ( captain ),2 DF,Liverpool,
Netherlands,,Denzel Dumfries,2 DF,Inter Milan,
Netherlands,,Nathan Aké,2 DF,Manchester City,
Netherlands,,Jurriën Timber,2 DF,Arsenal,
Netherlands,,Micky van de Ven,2 DF,Tottenham Hotspur,
Netherlands,,Mats Wieffer,2 DF,Brighton & Hove Albion,
Netherlands,,Jan Paul van Hecke,2 DF,Brighton & Hove Albion,
Netherlands,,Jorrel Hato,2 DF,Chelsea,
Netherlands,,Frenkie de Jong,3 MF,Barcelona,
Netherlands,,Marten de Roon,3 MF,Atalanta,
Netherlands,,Tijjani Reijnders,3 MF,Manchester City,
Netherlands,,Teun Koopmeiners,3 MF,Juventus,
Netherlands,,Ryan Gravenberch,3 MF,Liverpool,
Netherlands,,Justin Kluivert,3 MF,Bournemouth,
Netherlands,,Quinten Timber,3 MF,Marseille,
Netherlands,,Guus Til,3 MF,PSV Eindhoven,
Netherlands,,Memphis Depay,4 FW,Corinthians,
Netherlands,,Wout Weghorst,4 FW,Ajax,
Netherlands,,Donyell Malen,4 FW,Roma,
Netherlands,,Cody Gakpo,4 FW,Liverpool,
Netherlands,,Noa Lang,4 FW,Galatasaray,
Netherlands,,Brian Brobbey,4 FW,Sunderland,
Netherlands,,Crysencio Summerville,4 FW,West Ham United,
Sweden,,Jacob Widell Zetterström,1 GK,Derby County,
Sweden,,Gustaf Lagerbielke,2 DF,Braga,
Sweden,,Victor Lindelöf ( captain ),2 DF,Aston Villa,
Sweden,,Isak Hien,2 DF,Atalanta,
Sweden,,Gabriel Gudmundsson,2 DF,Leeds United,
Sweden,,Emil Holm,2 DF,Juventus,
Sweden,,Lucas Bergvall,3 MF,Tottenham Hotspur,
Sweden,,Daniel Svensson,2 DF,Borussia Dortmund,
Sweden,,Alexander Isak,4 FW,Liverpool,
Sweden,,Benjamin Nygren,4 FW,Celtic,
Sweden,,Anthony Elanga,4 FW,Newcastle United,
Sweden,,Viktor Johansson,1 GK,Stoke City,
Sweden,,Ken Sema,3 MF,Pafos,
Sweden,,Hjalmar Ekdal,2 DF,Burnley,
Sweden,,Carl Starfelt,2 DF,Celta Vigo,
Sweden,,Jesper Karlström,3 MF,Udinese,
Sweden,,Viktor Gyökeres,4 FW,Arsenal,
Sweden,,Yasin Ayari,3 MF,Brighton & Hove Albion,
Sweden,,Mattias Svanberg,3 MF,VfL Wolfsburg,
Sweden,,Eric Smith,2 DF,FC St. Pauli,
Sweden,,Alexander Bernhardsson,4 FW,Holstein Kiel,
Sweden,,Besfort Zeneli,3 MF,Union Saint-Gilloise,
Sweden,,Kristoffer Nordfeldt,1 GK,AIK,
Sweden,,Elliot Stroud,2 DF,Mjällby AIF,
Sweden,,Gustaf Nilsson,4 FW,Club Brugge,
Sweden,,Taha Ali,4 FW,Malmö FF,
Tunisia,,Aymen Dahmen,1 GK,CS Sfaxien,
Tunisia,,Sabri Ben Hessen,1 GK,Étoile du Sahel,
Tunisia,,Mouhib Chamakh,1 GK,Club Africain,
Tunisia,,Montassar Talbi,2 DF,Lorient,
Tunisia,,Dylan Bronn,2 DF,Servette,
Tunisia,,Ali Abdi,2 DF,Nice,
Tunisia,,Yan Valery,2 DF,Young Boys,
Tunisia,,Mohamed Amine Ben Hamida,2 DF,Espérance de Tunis,
Tunisia,,Moutaz Neffati,2 DF,IFK Norrköping,
Tunisia,,Omar Rekik,2 DF,Maribor,
Tunisia,,Adem Arous,2 DF,Kasımpaşa,
Tunisia,,Raed Chikhaoui,2 DF,US Monastir,
Tunisia,,Ellyes Skhiri ( captain ),3 MF,Eintracht Frankfurt,
Tunisia,,Hannibal Mejbri,3 MF,Burnley,
Tunisia,,Anis Ben Slimane,3 MF,Norwich City,
Tunisia,,Mortadha Ben Ouanes,3 MF,Kasımpaşa,
Tunisia,,Ismaël Gharbi,3 MF,FC Augsburg,
Tunisia,,Hadj Mahmoud,3 MF,Lugano,
Tunisia,,Rani Khedira,3 MF,Union Berlin,
Tunisia,,Elias Achouri,4 FW,Copenhagen,
Tunisia,,Firas Chaouat,4 FW,Club Africain,
Tunisia,,Hazem Mastouri,4 FW,Dynamo Makhachkala,
Tunisia,,Elias Saad,4 FW,Hannover 96,
Tunisia,,Sebastian Tounekti,4 FW,Celtic,
Tunisia,,Khalil Ayari,4 FW,Paris Saint-Germain,
Tunisia,,Rayan Elloumi,4 FW,Vancouver Whitecaps FC,
Belgium,,Thibaut Courtois,1 GK,Real Madrid,
Belgium,,Senne Lammens,1 GK,Manchester United,
Belgium,,Mike Penders,1 GK,Strasbourg,
Belgium,,Thomas Meunier,2 DF,Lille,
Belgium,,Timothy Castagne,2 DF,Fulham,
Belgium,,Arthur Theate,2 DF,Eintracht Frankfurt,
Belgium,,Zeno Debast,2 DF,Sporting CP,
Belgium,,Maxim De Cuyper,2 DF,Brighton & Hove Albion,
Belgium,,Brandon Mechele,2 DF,Club Brugge,
Belgium,,Koni De Winter,2 DF,Milan,
Belgium,,Joaquin Seys,2 DF,Club Brugge,
Belgium,,Nathan Ngoy,2 DF,Lille,
Belgium,,Axel Witsel,3 MF,Girona,
Belgium,,Kevin De Bruyne,3 MF,Napoli,
Belgium,,Youri Tielemans ( captain ),3 MF,Aston Villa,
Belgium,,Hans Vanaken,3 MF,Club Brugge,
Belgium,,Amadou Onana,3 MF,Aston Villa,
Belgium,,Nicolas Raskin,3 MF,Rangers,
Belgium,,Romelu Lukaku,4 FW,Napoli,
Belgium,,Leandro Trossard,4 FW,Arsenal,
Belgium,,Jérémy Doku,4 FW,Manchester City,
Belgium,,Dodi Lukébakio,4 FW,Benfica,
Belgium,,Charles De Ketelaere,4 FW,Atalanta,
Belgium,,Alexis Saelemaekers,4 FW,Milan,
Belgium,,Diego Moreira,4 FW,Strasbourg,
Belgium,,Matias Fernandez-Pardo,4 FW,Lille,
Egypt,,Mohamed El Shenawy,1 GK,Al Ahly,
Egypt,,Mostafa Shobeir,1 GK,Al Ahly,
Egypt,,Mohamed Alaa,1 GK,El Gouna,
Egypt,,El Mahdy Soliman,1 GK,Zamalek,
Egypt,,Hamdy Fathy,2 DF,Al-Wakrah,
Egypt,,Ramy Rabia,2 DF,Al Ain,
Egypt,,Mohamed Hany,2 DF,Al Ahly,
Egypt,,Ahmed Fatouh,2 DF,Zamalek,
Egypt,,Mohamed Abdelmonem,2 DF,Nice,
Egypt,,Yasser Ibrahim,2 DF,Al Ahly,
Egypt,,Hossam Abdelmaguid,2 DF,Zamalek,
Egypt,,Karim Hafez,2 DF,Pyramids,
Egypt,,Tarek Alaa,2 DF,ZED,
Egypt,,Marwan Attia,3 MF,Al Ahly,
Egypt,,Emam Ashour,3 MF,Al Ahly,
Egypt,,Mohanad Lasheen,3 MF,Pyramids,
Egypt,,Mahmoud Saber,3 MF,ZED,
Egypt,,Nabil Emad,3 MF,Al-Najma,
Egypt,,Mostafa Ziko,3 MF,Pyramids,
Egypt,,Mohamed Salah ( captain ),4 FW,Liverpool,
Egypt,,Trézéguet,4 FW,Al Ahly,
Egypt,,Zizo,4 FW,Al Ahly,
Egypt,,Omar Marmoush,4 FW,Manchester City,
Egypt,,Ibrahim Adel,4 FW,Nordsjælland,
Egypt,,Haissem Hassan,4 FW,Oviedo,
Egypt,,Aqtay Abdallah,4 FW,ENPPI,
Egypt,,Hamza Abdelkarim,4 FW,Barcelona B,
Iran,,Alireza Beiranvand,1 GK,Tractor,
Iran,,Payam Niazmand,1 GK,Persepolis,
Iran,,Hossein Hosseini,1 GK,Sepahan,
Iran,,Mohammad Khalife,1 GK,Aluminium Arak,
Iran,,Ehsan Hajsafi,2 DF,Sepahan,
Iran,,Milad Mohammadi,2 DF,Persepolis,
Iran,,Ramin Rezaeian,2 DF,Foolad,
Iran,,Hossein Kanaanizadegan,2 DF,Persepolis,
Iran,,Shojae Khalilzadeh,2 DF,Tractor,
Iran,,Saleh Hardani,2 DF,Esteghlal,
Iran,,Ali Nemati,2 DF,Foolad,
Iran,,Aria Yousefi,2 DF,Sepahan,
Iran,,Danial Eiri,2 DF,Malavan,
Iran,,Alireza Jahanbakhsh ( captain ),3 MF,Dender,
Iran,,Saeid Ezatolahi,3 MF,Shabab Al-Ahli,
Iran,,Saman Ghoddos,3 MF,Kalba,
Iran,,Mehdi Torabi,3 MF,Tractor,
Iran,,Rouzbeh Cheshmi,3 MF,Esteghlal,
Iran,,Omid Noorafkan,3 MF,Sepahan,
Iran,,Mohammad Mohebi,3 MF,Rostov,
Iran,,Mohammad Ghorbani,3 MF,Al-Wahda,
Iran,,Amirmohammad Razzaghinia,3 MF,Esteghlal,
Iran,,Hadi Habibinejad,3 MF,Chadormalou,
Iran,,Mehdi Taremi,4 FW,Olympiacos,
Iran,,Mehdi Ghayedi,4 FW,Al-Nasr,
Iran,,Amirhossein Hosseinzadeh,4 FW,Tractor,
Iran,,Ali Alipour,4 FW,Persepolis,
Iran,,Kasra Taheri,4 FW,Paykan,
Iran,,Amirhossein Mahmoudi,4 FW,Persepolis,
Iran,,Dennis Eckert,4 FW,Standard Liège,
New Zealand,,Max Crocombe,1 GK,Millwall,
New Zealand,,Tim Payne,2 DF,Wellington Phoenix,
New Zealand,,Francis de Vries,2 DF,Auckland FC,
New Zealand,,Tyler Bindon,2 DF,Sheffield United,
New Zealand,,Michael Boxall,2 DF,Minnesota United FC,
New Zealand,,Joe Bell,3 MF,Viking,
New Zealand,,Matthew Garbett,3 MF,Peterborough United,
New Zealand,,Marko Stamenić,3 MF,Swansea City,
New Zealand,,Chris Wood ( captain ),4 FW,Nottingham Forest,
New Zealand,,Sarpreet Singh,3 MF,Wellington Phoenix,
New Zealand,,Elijah Just,3 MF,Motherwell,
New Zealand,,Alex Paulsen,1 GK,Lechia Gdańsk,
New Zealand,,Liberato Cacace,2 DF,Wrexham,
New Zealand,,Alex Rufer,3 MF,Wellington Phoenix,
New Zealand,,Nando Pijnaker,2 DF,Auckland FC,
New Zealand,,Finn Surman,2 DF,Portland Timbers,
New Zealand,,Kosta Barbarouses,4 FW,Western Sydney Wanderers,
New Zealand,,Ben Waine,4 FW,Port Vale,
New Zealand,,Ben Old,3 MF,Saint-Étienne,
New Zealand,,Callum McCowatt,3 MF,Silkeborg,
New Zealand,,Jesse Randall,4 FW,Auckland FC,
New Zealand,,Michael Woud,1 GK,Auckland FC,
New Zealand,,Ryan Thomas,3 MF,PEC Zwolle,
New Zealand,,Callan Elliot,2 DF,Auckland FC,
New Zealand,,Lachlan Bayliss,3 MF,Newcastle Jets,
New Zealand,,Tommy Smith,2 DF,Braintree Town,
Cape Verde,,Vozinha,1 GK,Chaves,
Cape Verde,,Márcio Rosa,1 GK,Montana,
Cape Verde,,CJ dos Santos,1 GK,San Diego FC,
Cape Verde,,Stopira,2 DF,Torreense,
Cape Verde,,Roberto Lopes,2 DF,Shamrock Rovers,
Cape Verde,,João Paulo,2 DF,FCSB,
Cape Verde,,Diney,2 DF,Al Bataeh,
Cape Verde,,Logan Costa,2 DF,Villarreal,
Cape Verde,,Steven Moreira,2 DF,Columbus Crew,
Cape Verde,,Wagner Pina,2 DF,Trabzonspor,
Cape Verde,,Sidny Lopes Cabral,2 DF,Benfica,
Cape Verde,,Kelvin Pires,2 DF,SJK,
Cape Verde,,Jamiro Monteiro,3 MF,PEC Zwolle,
Cape Verde,,Kevin Pina,3 MF,Krasnodar,
Cape Verde,,Deroy Duarte,3 MF,Ludogorets Razgrad,
Cape Verde,,Telmo Arcanjo,3 MF,Vitória de Guimarães,
Cape Verde,,Laros Duarte,3 MF,Puskás Akadémia,
Cape Verde,,Yannick Semedo,3 MF,Farense,
Cape Verde,,Ryan Mendes ( captain ),4 FW,Iğdır,
Cape Verde,,Garry Rodrigues,4 FW,Apollon Limassol,
Cape Verde,,Willy Semedo,4 FW,Omonia,
Cape Verde,,Jovane Cabral,4 FW,Estrela Amadora,
Cape Verde,,Gilson Benchimol,4 FW,Akron Tolyatti,
Cape Verde,,Dailon Livramento,4 FW,Casa Pia,
Cape Verde,,Hélio Varela,4 FW,Maccabi Tel Aviv,
Cape Verde,,Nuno da Costa,4 FW,İstanbul Başakşehir,
Saudi Arabia,,Mohammed Al-Owais,1 GK,Al-Ula,
Saudi Arabia,,Nawaf Al-Aqidi,1 GK,Al-Nassr,
Saudi Arabia,,Ahmed Al-Kassar,1 GK,Al-Qadsiah,
Saudi Arabia,,Abdulquddus Atiah,1 GK,Al-Taawoun,
Saudi Arabia,,Saud Abdulhamid,2 DF,Lens,
Saudi Arabia,,Hassan Al-Tambakti,2 DF,Al-Hilal,
Saudi Arabia,,Abdulelah Al-Amri,2 DF,Al-Nassr,
Saudi Arabia,,Nawaf Boushal,2 DF,Al-Nassr,
Saudi Arabia,,Ali Majrashi,2 DF,Al-Ahli,
Saudi Arabia,,Ali Lajami,2 DF,Al-Hilal,
Saudi Arabia,,Hassan Kadesh,2 DF,Al-Ittihad,
Saudi Arabia,,Moteb Al-Harbi,2 DF,Al-Hilal,
Saudi Arabia,,Jehad Thakri,2 DF,Al-Qadsiah,
Saudi Arabia,,Mohammed Abu Al-Shamat,2 DF,Al-Qadsiah,
Saudi Arabia,,Zakaria Hawsawi,2 DF,Al-Ahli,
Saudi Arabia,,Salem Al-Dawsari ( captain ),3 MF,Al-Hilal,
Saudi Arabia,,Mohamed Kanno,3 MF,Al-Hilal,
Saudi Arabia,,Nasser Al-Dawsari,3 MF,Al-Hilal,
Saudi Arabia,,Abdullah Al-Khaibari,3 MF,Al-Nassr,
Saudi Arabia,,Musab Al-Juwayr,3 MF,Al-Qadsiah,
Saudi Arabia,,Ayman Yahya,3 MF,Al-Nassr,
Saudi Arabia,,Ziyad Al-Johani,3 MF,Al-Ahli,
Saudi Arabia,,Saleh Abu Al-Shamat,3 MF,Al-Ahli,
Saudi Arabia,,Sultan Mandash,3 MF,Al-Hilal,
Saudi Arabia,,Alaa Al-Hejji,3 MF,Neom,
Saudi Arabia,,Firas Al-Buraikan,4 FW,Al-Ahli,
Saudi Arabia,,Saleh Al-Shehri,4 FW,Al-Ittihad,
Saudi Arabia,,Abdullah Al-Hamdan,4 FW,Al-Nassr,
Saudi Arabia,,Khalid Al-Ghannam,4 FW,Al-Ettifaq,
Saudi Arabia,,Abdullah Al-Salem,4 FW,Al-Qadsiah,
Spain,,Unai Simón,1 GK,Athletic Bilbao,
Spain,,David Raya,1 GK,Arsenal,
Spain,,Joan Garcia,1 GK,Barcelona,
Spain,,Aymeric Laporte,2 DF,Athletic Bilbao,
Spain,,Marc Cucurella,2 DF,Chelsea,
Spain,,Marcos Llorente,2 DF,Atlético Madrid,
Spain,,Eric García,2 DF,Barcelona,
Spain,,Pedro Porro,2 DF,Tottenham Hotspur,
Spain,,Álex Grimaldo,2 DF,Bayer Leverkusen,
Spain,,Pau Cubarsí,2 DF,Barcelona,
Spain,,Marc Pubill,2 DF,Atlético Madrid,
Spain,,Rodri ( captain ),3 MF,Manchester City,
Spain,,Mikel Merino,3 MF,Arsenal,
Spain,,Fabián Ruiz,3 MF,Paris Saint-Germain,
Spain,,Pedri,3 MF,Barcelona,
Spain,,Gavi,3 MF,Barcelona,
Spain,,Martín Zubimendi,3 MF,Arsenal,
Spain,,Álex Baena,3 MF,Atlético Madrid,
Spain,,Ferran Torres,4 FW,Barcelona,
Spain,,Mikel Oyarzabal,4 FW,Real Sociedad,
Spain,,Dani Olmo,4 FW,Barcelona,
Spain,,Nico Williams,4 FW,Athletic Bilbao,
Spain,,Lamine Yamal,4 FW,Barcelona,
Spain,,Yéremy Pino,4 FW,Crystal Palace,
Spain,,Borja Iglesias,4 FW,Celta Vigo,
Spain,,Víctor Muñoz,4 FW,Osasuna,
France,,Brice Samba,1 GK,Rennes,
France,,Malo Gusto,2 DF,Chelsea,
France,,Lucas Digne,2 DF,Aston Villa,
France,,Dayot Upamecano,2 DF,Bayern Munich,
France,,Jules Koundé,2 DF,Barcelona,
France,,Manu Koné,3 MF,Roma,
France,,Ousmane Dembélé,4 FW,Paris Saint-Germain,
France,,Aurélien Tchouaméni,3 MF,Real Madrid,
France,,Marcus Thuram,4 FW,Inter Milan,
France,,Kylian Mbappé ( captain ),4 FW,Real Madrid,
France,,Michael Olise,4 FW,Bayern Munich,
France,,Bradley Barcola,4 FW,Paris Saint-Germain,
France,,N'Golo Kanté,3 MF,Fenerbahçe,
France,,Adrien Rabiot,3 MF,Milan,
France,,Ibrahima Konaté,2 DF,Liverpool,
France,,Mike Maignan,1 GK,Milan,
France,,William Saliba,2 DF,Arsenal,
France,,Warren Zaïre-Emery,3 MF,Paris Saint-Germain,
France,,Théo Hernandez,2 DF,Al-Hilal,
France,,Désiré Doué,4 FW,Paris Saint-Germain,
France,,Lucas Hernandez,2 DF,Paris Saint-Germain,
France,,Jean-Philippe Mateta,4 FW,Crystal Palace,
France,,Robin Risser,1 GK,Lens,
France,,Rayan Cherki,4 FW,Manchester City,
France,,Maghnes Akliouche,4 FW,Monaco,
France,,Maxence Lacroix,2 DF,Crystal Palace,
Iraq,,Jalal Hassan ( captain ),1 GK,Al-Zawraa,
Iraq,,Fahad Talib,1 GK,Al-Talaba,
Iraq,,Ahmed Basil,1 GK,Al-Shorta,
Iraq,,Kumel Al-Rekabe,1 GK,Erbil,
Iraq,,Rebin Sulaka,2 DF,Port,
Iraq,,Manaf Younis,2 DF,Al-Shorta,
Iraq,,Merchas Doski,2 DF,Viktoria Plzeň,
Iraq,,Hussein Ali,2 DF,Pogoń Szczecin,
Iraq,,Zaid Tahseen,2 DF,Pakhtakor,
Iraq,,Frans Putros,2 DF,Persib,
Iraq,,Maitham Jabbar,2 DF,Al-Zawraa,
Iraq,,Ahmed Yahya,2 DF,Al-Shorta,
Iraq,,Mustafa Saadoon,2 DF,Al-Shorta,
Iraq,,Akam Hashim,2 DF,Al-Zawraa,
Iraq,,Ahmed Maknzi,2 DF,Al-Karma,
Iraq,,Dario Naamo,2 DF,Dundee United,
Iraq,,Ibrahim Bayesh,3 MF,Al-Dhafra,
Iraq,,Amir Al-Ammari,3 MF,Cracovia,
Iraq,,Ali Jasim,3 MF,Al-Najma,
Iraq,,Youssef Amyn,3 MF,AEK Larnaca,
Iraq,,Zidane Iqbal,3 MF,Utrecht,
Iraq,,Hasan Abdulkareem,3 MF,Al-Zawraa,
Iraq,,Marko Farji,3 MF,Venezia,
Iraq,,Karrar Nabeel,3 MF,Al-Zawraa,
Iraq,,Kevin Yakob,3 MF,AGF,
Iraq,,Aimar Sher,3 MF,Sarpsborg 08,
Iraq,,Zaid Ismail,3 MF,Al-Talaba,
Iraq,,Peter Gwargis,3 MF,Duhok,
Iraq,,Jussef Nasrawe,3 MF,SV Ried,
Iraq,,Ahmed Qasem,3 MF,Nashville SC,
Iraq,,Aymen Hussein,4 FW,Al-Karma,
Iraq,,Mohanad Ali,4 FW,Dibba,
Iraq,,Ali Al-Hamadi,4 FW,Luton Town,
Iraq,,Ali Yousif,4 FW,Al-Talaba,
Norway,,Ørjan Nyland,1 GK,Sevilla,
Norway,,Morten Thorsby,3 MF,Cremonese,
Norway,,Kristoffer Ajer,2 DF,Brentford,
Norway,,Leo Østigård,2 DF,Genoa,
Norway,,David Møller Wolfe,2 DF,Wolverhampton Wanderers,
Norway,,Patrick Berg,3 MF,Bodø/Glimt,
Norway,,Alexander Sørloth,4 FW,Atlético Madrid,
Norway,,Sander Berge,3 MF,Fulham,
Norway,,Erling Haaland,4 FW,Manchester City,
Norway,,Martin Ødegaard ( captain ),3 MF,Arsenal,
Norway,,Jørgen Strand Larsen,4 FW,Crystal Palace,
Norway,,Sander Tangvik,1 GK,Hamburger SV,
Norway,,Egil Selvik,1 GK,Watford,
Norway,,Fredrik Aursnes,3 MF,Benfica,
Norway,,Fredrik André Bjørkan,2 DF,Bodø/Glimt,
Norway,,Marcus Holmgren Pedersen,2 DF,Torino,
Norway,,Torbjørn Heggem,2 DF,Bologna,
Norway,,Kristian Thorstvedt,3 MF,Sassuolo,
Norway,,Thelo Aasgaard,3 MF,Rangers,
Norway,,Antonio Nusa,3 MF,RB Leipzig,
Norway,,Andreas Schjelderup,3 MF,Benfica,
Norway,,Oscar Bobb,3 MF,Fulham,
Norway,,Jens Petter Hauge,3 MF,Bodø/Glimt,
Norway,,Sondre Langås,2 DF,Derby County,
Norway,,Henrik Falchener,2 DF,Viking,
Norway,,Julian Ryerson,2 DF,Borussia Dortmund,
Senegal,,Édouard Mendy,1 GK,Al-Ahli,
Senegal,,Mory Diaw,1 GK,Le Havre,
Senegal,,Yehvann Diouf,1 GK,Nice,
Senegal,,Kalidou Koulibaly ( captain ),2 DF,Al-Hilal,
Senegal,,Krépin Diatta,2 DF,Monaco,
Senegal,,Moussa Niakhaté,2 DF,Lyon,
Senegal,,Ismail Jakobs,2 DF,Galatasaray,
Senegal,,Abdoulaye Seck,2 DF,Maccabi Haifa,
Senegal,,El Hadji Malick Diouf,2 DF,West Ham United,
Senegal,,Antoine Mendy,2 DF,Nice,
Senegal,,Mamadou Sarr,2 DF,Chelsea,
Senegal,,Ilay Camara,2 DF,Anderlecht,
Senegal,,Moustapha Mbow,2 DF,Paris FC,
Senegal,,Idrissa Gueye,3 MF,Everton,
Senegal,,Pape Gueye,3 MF,Villarreal,
Senegal,,Pape Matar Sarr,3 MF,Tottenham Hotspur,
Senegal,,Pathé Ciss,3 MF,Rayo Vallecano,
Senegal,,Lamine Camara,3 MF,Monaco,
Senegal,,Habib Diarra,3 MF,Sunderland,
Senegal,,Bara Sapoko Ndiaye,3 MF,Bayern Munich,
Senegal,,Sadio Mané,4 FW,Al-Nassr,
Senegal,,Ismaïla Sarr,4 FW,Crystal Palace,
Senegal,,Iliman Ndiaye,4 FW,Everton,
Senegal,,Nicolas Jackson,4 FW,Bayern Munich,
Senegal,,Bamba Dieng,4 FW,Lorient,
